Abbreviation	prm	rlt	star	Dance Prom. R&L T Star Ct. Turn Pet. Clp. R O’M spin Footnoise
Ltrk	S	H	L	Ltrk S H L NT - - NN, N
NMAD	CT	NH	WG	NMAD CT NH WG T, NT C S m-NN
BtrB	B	H	WG	BtrB B H WG T, NT C S N, NN
Uchg	S	H	WG	Uchg S H WG T, NT C, NC - m-N
BIN	B	H	WG	BIN B H WG NT C, NC S N
MIT	CT	NH	WG	MIT CT NH WG m-NT - - NN
VFW	CT	NH	WG	VFW CT NH WG m-T C S N
SctH	CT	NH	WG	SctH CT NH WG m-T C S N
GFld	CT	NH	WG	GFld CT NH WG m-T C S m-N
SStp	CT	NH	WG	SStp CT NH WG m-T C S N
NEFF	CT	NH	WG	NEFF CT NH WG m-T C S N
Btmr	B	H	WG	Btmr B, CT m-H WG T, NT NC S NN
GlnE	B	H	WG	GlnE B H WG T, NT C S N, NN
StL	S	H	WG	StL S, B H WG m-NT C m-NS N
LEAF	S	NH	HA	LEAF S NH WG, HA m-T C S N
WrnW	S	NH	HA	WrnW S NH WG, HA m-T - S N
Cbry	CT	NH	WG	Cbry CT NH WG NT N - N
CNH	CT	NH	WG	CNH CT NH WG NT - - N, NN
Lbvl	CT	H	WG	Lbvl CT, B H WG T, NT C S N, NN
R&O	CT	H	WG	R&O CT, B m-H WG T, NT C S NN
FRFF	CT	NH	WG	FRFF CT NH WG m-T C S N
Abny	CT	NH	WG	Abny CT NH WG NT m-NC - NN
Elsn	B	H	WG	Elsn B, CT m-H WG m-NT C S, NS m-NN
Glns	B	H	WG	Glns m-B m-H WG T, NT C S m-NN
Swat	CT	H	WG	Swat CT H WG m-NT C S N
Ober	CT	H	WG	Ober CT H WG m-NT C, NC m-S NN
Clvl	CT	H	WG	Clvl m-CT H WG m-NT m-NC m-S NN
Clmb	S	H	WG	Clmb S H WG m-NT m-NC m-S NN
Atns	S	H	HA	Atns S H WG, HA m-T - - N
AuCp	S	H	WG	AuCp S H WG m-T m-C NS m-N
AuSp	S	H	WG	AuSp S H WG m-T m-C NS m-N
Dals	S	H	WG	Dals S H WG NT m-NC - m-NN
Husn	S	H	WG	Husn S H WG NT m-C NS m-NN
DwnD	CT	NH	WG	DwnD CT NH WG m-T C S N
CVFF	CT	NH	WG	CVFF CT NH WG m-T C S N
